Id,Company1Id,Company1,Company2Id,Company2,RelatedYesNo
112,101887, Hulu,153216, Audi, N
113,118053, Netflix,130854, Reebok, N
114,143372, HBO,194229, Converse, N
115,125319, Nike,126020, Bank of America, N
116,128292, McDonalds,127949, JPMorgan Chase, N
117,123612, Costco,219561, Showtime, N
118,100242, Uber,207980, SoulCycle, N
119,123687, Lyft,152095, Princeton University, N
120,123078, Craigslist,102260, Intel, N
121,143877, MetLife,104688, Glassdoor, N
122,111436, Apple,123612, Costco, N
123,116231, Airbnb,136830, Walmart, N
124,141188, Snapchat,128792,Wendys, N
125,101363, Twitter,104688, Glassdoor, N
126,101412, Amazon,129254, Krispy Kreme Doughnuts, N
127,135129, American Airlines,123612, Costco, N
128,135129, American Airlines,125319, Nike, N
129,196591, Ikea,138616, Deutsche Bank, N
130,139804, Nextdoor,135132, Delta Airlines, N
131,122326, Wealthfront,103027, Spotify, N
132,123639, Betterment,194229, Converse, N
133,185436, Dartmouth College,101363, Twitter, N
134,100651, Google,100497, Fidelity, N
135,128775, UBS Group,100651, Google, N
136,108833, SeatGeek,100651, Google, N
137,113381, TicketMaster,136830, Walmart, N
138,123612, Costco,141188, Snapchat, N
139,136824, AIG,129074, Sonos, N
140,113615, Bose,122326, Wealthfront, N
141,101412, Amazon,127654, Starbucks, N
142,131017, PepsiCo,143372, HBO, N
143,133958, H&M,131600, Coca-Cola, N
144,131600, Coca-Cola,196591, Ikea, N
145,100032, Quora,135132, Delta Airlines, N
146,101452, Pottery Barn,133110, Palantir, N
147,707273, LiveRamp,108833, SeatGeek, N
148,103053, Facebook,153905, Forever 21, N
149,103053, Facebook,127950, Goldman Sachs, N
150,126020, Bank of America,123639, Betterment, N
151,138983, WhatsApp,124586, Unilever, N
152,176294, Viber Media,131017, PepsiCo, N
153,140690, Funding Circle,103027, Spotify, N
154,133110, Palantir,125319, Nike, N
155,103035, SoundCloud,116231, Airbnb, N
156,116231, Airbnb,176294, Viber Media, N
157,129313, Papa Johns,100032, Quora, N
158,183324, Sony,128515, Citigroup, N
159,128936, Chevron,103053, Facebook, N
160,102260, Intel,136830, Walmart, N
161,100497, Fidelity,101412, Amazon, N
162,100125, Eventbrite,118053, Netflix, N
163,153216, Audi,127654, Starbucks, N
164,123416, Stubhub,185436, Dartmouth College, N
165,141188, Snapchat,196591, Ikea, N
166,100651, Google,131362, Chipotle, N
167,100978, Microsoft,103031, Pandora, N
168,100978, Microsoft,152095, Princeton University, N
169,133110, Palantir,138983, WhatsApp, N
170,100486, Owler,183324, Sony, N
171,102211, Cisco Systems,116231, Airbnb, N
172,102139, IBM,143372, HBO, N
173,143466, Viacom,125319, Nike, N
174,143466, Viacom,128791, Burger King, N
175,128791, Burger King,102260, Intel, N
176,129312, Dominos Pizza,100650, MasterCard, N
177,131310, Visa,126010, Walt Disney Company, N
178,131310, Visa,103018, Yahoo, N
179,103018, Yahoo,153216, Audi, N
180,128293, Panera Bread,122591, Instagram, N
181,122591, Instagram,113381, TicketMaster, N
182,100242, Uber,169497, Ebay, N
183,101887, Hulu,102211, Cisco Systems, N
184,128935, Exxon Mobil,101450, Target, N
185,101450, Target,128293, Panera Bread, N
186,128935, Exxon Mobil,122591, Instagram, N
187,128791, Burger King,100486, Owler, N
188,128791, Burger King,103027, Spotify, N
189,100978, Microsoft,108833, SeatGeek, N
190,100651, Google,143877, MetLife, N
191,125534, General Mills,100979, HP, N
192,135790, Taco Bell,100979, HP, N
193,100654, Salesforce.com,128936, Chevron, N
194,103018, Yahoo,125534, General Mills, N
195,133961, Ralph Lauren Corp,100032, Quora, N
196,111996, Pinterest,125319, Nike, N
197,111996, Pinterest,126020, Bank of America, N
198,137490, Flatiron Health,100654, Salesforce.com, N
199,154924, Staples,125319, Nike, N
200,100486, Owler,111436, Apple, N
201,2177588,Hub City Aviation,205384,California State Teachers' Retirment System,N
202,4146879,North Start Centre LLc,3983421,Ashley Anne Photography,N
203,5191549,Carrie Evans Photography,3983421,Ashley Anne Photography,Y
204,874826,Delorme Studios,5191549,Carrie Evans Photography,Y
205,2162126,Southwest Key Program,2189014,South East Farmer,N
206,3162315,Cornell Animal Hospital,3879412,Ontario Veterinary Hospital,Y
207,3879412,Ontario Veterinary Hospital,2177588,Hub City Aviation,N
208,3646451,2 Rings & A Dress Photographers,100486,Owler,N
209,1365856,NotePage Inc,3162315,Cornell Animal Hospital,N
210,1793981,Pulqueria,359603,Rosa Mexicano,Y
211,1427349,Best Film & Video Corp,896306,GB Productions,Y
212,3420963,Love in Progress Video Productions,1427349,Best Film & Video Corp,Y
213,1069060,Franco Estate Specialists,3420963,Love in Progress Video Productions,N
214,359603,Rosa Mexicano,896306,GB Productions,N
215,5679228,Strategy Studio,4236088,Concept Softworks,N
216,1894967,Inter Tile,1021487,IMPACTS Americas,N
217,2292608,Gem Center USA,675658,CEP Panels,N
218,3599263,Pioneer Magnetics,759716,SocialPandas,N
219,3599263,Pioneer Magnetics,1365856,NotePage Inc.,N
220,1894967,Inter Tile,3599297,Pioneer Magnetics,N
221,5063052,Raby Institute for Integrative Medicine,533062,ExecuTrain Houston,N
222,3820531,River Oaks Plastic Surgery Center,6338610,Vitenas Cosmetic Surgery,Y
223,839180,Institute of Physical Art,6338610,Vitenas Cosmetic Surgery,N
224,839180,Institute of Physical Art,3820531,River Oaks Plastic Surgery Center,N
225,1350641,Professional Court Reporters,312199,Design Form Inc,N
226,1933190,Calvary Chapel Melbourne,312199,Design Form Inc,N
227,5739697,Tri City Rentals Apartment Communities,312199,Design Form Inc,N
228,5739697,Tri City Rentals Apartment Communities,1144188,Horizon Health Services,N
229,5574402,Woodlands Joint Power Agency ,111996,Pinterest,N
230,122591,Instagram,111996,Pinterest,Y
231,122591,Instagram,349710,Rawlings Realty,N
232,1944153,Louis Joseph Realty,111996,Pinterest,N
233,2446819,Masterpiece Stair Inc,349710,Rawlings Realty Group,N
234,2446819,Masterpiece Stair Inc,5063052,Raby Institute for Integrative Medicine,N
235,2446819,Masterpiece Stair Inc,149737,Peak Incorporated,N
236,4954768,Xavier Development,149737,Peak Incorporated,N
237,1902270,Three Rivers Union Elementary,149737,Peak Incorporated,N
238,135783,Univision Communications,7383738,TV Azteca,N
239,2094597,Morse & Son Ltd.,439429,A&J Food Wholesalers,N
240,135783,Univision Communications,439429,A&J Food Wholesalers,N
241,2784532,Deatherage Web Development,2520382,Clark's Boats & Motors ,N
242,4469829,Atkinson Communications,2520382,Clark's Boats & Motors ,N
243,793198,Liberty Title Co,2520382,Clark's Boats & Motors ,N
244,287103,Risk Engineering Inc,2784532,Deatherage Web Development,N
245,1753745,Elegant Linens Ltd.,560048,Kusher's Spots Academy,N
246,5047290,Woodworks Custom Remodeling,3845282,"Law Offices of Gibert R. Joy, Jr. And Affiliates",N
247,2072858,Honored Guest Bed & Breakfast,10065582,Allie's Inn Bed & Breakfast,Y
248,4554737,Sea Space,4040699,"Law Offices of Gibert R. Joy, Jr. And Affiliates",N
249,527704,Camp West Woods,1647036,Back Bay Entertainment,N
250,2018616,King & Cushman Inc,1647036,Back Bay Entertainment,N
251,3479255,Watertown Yacht Club,1647036,Back Bay Entertainment,N
252,5791627,Twin Brook Camping Area,2266516,Demosphere International,N
253,5290190,Home Green Advantage,4562528,Provitaminas Co,N
254,3253048,Green Paws Veterinary Care,4562528,Provitaminas Co,N
255,5121891,Green Pets Spa,1289275,Do it Green,N
256,5290190,Home Green Advantage,1289275,Do it Green,N
257,5290190,Home Green Advantage,3253048,Green Paws Veterinary Care,N
258,169827,Blue Star Gas,1553749,Down Syndrome Association Hudson Valley,N
259,2292941,Uncle Bill's Pizza,1553749,Down Syndrome Association Hudson Valley,N
260,2292941,Uncle Bill's Pizza,169827,Blue Star Gas,N
261,3770616,Bischoff Custom Design,169827,Blue Star Gas,N
262,3770616,Bischoff Custom Design,2292941,Uncle Bill's Pizza,N
263,2292941,Uncle Bill's Pizza,885135,AccuPsych Billing Services,N
264,1937671,South End Neighborhood Association,885135,AccuPsych Billing Services,N
265,922266,TravelKey Inc.,2670881,ScanPower,N
266,1139915,Freedom Roofing,2670881,ScanPower,N
267,4109258,Fisher Strength & Health  ,2474835,Fulfer Decks,N
268,3693927,Pleasanton Stairs Company,1046063,Coastal Computer Services,N
269,1135128,Advantage Pest Related Services,1046063,Coastal Computer Services,N
270,4905154,Down Range Brewing Company,1046063,Coastal Computer Services,N
271,4905154,Down Range Brewing Company,1135128,Advantage Pest Related Services,N
272,5341491,Centry 21 Commonwealth,3208120,Griffin Schools,N
273,5360670,Sps Signs & Graphics,3208120,Griffin Schools,N
274,1433897,Laumar Computers,3208120,Griffin Schools,N
275,2760480,Brook Landscape,1433897,Laumar Computers,N
276,5360670,Sps Signs & Graphics,1433897,Laumar Computers,N
277,5360670,Sps Signs & Graphics,2760480,Brook Landscape,N
278,4905154,Down Range Brewing Company,2760480,Brook Landscape,N
279,1798663,Gcp Discount Liquors & Wines,1014490,Bosack Dental,N
280,3263236,Brookfield Smiles,1014490,Bosack Dental,Y
281,1798663,Gcp Discount Liquors & Wines,3263236,Brookfield Smiles,N
282,5691887,Vinyl Wine,3838789,Quality House Wines & Spirits,Y
283,1607614,Nestor Imports,3838789,Quality House Wines & Spirits,Y
284,1607614,Nestor Imports,5691887,Vinyl Wine,Y
285,1794586,New Favors,1798663,Gcp Discount Liquors & Wines,N
286,2445349,York Creek Vineyards,1607614,Nestor Imports,N
287,2445349,York Creek Vineyards,3838789,Quality House Wines & Spirits,N
288,1279686,One Woman Wines & Vineyards,2445349,York Creek Vineyards,N
289,1603142,Casa Larga Vineyards,1279686,One Woman Wines & Vineyards,N
290,1605835,Applewood Winery,1279686,One Woman Wines & Vineyards,N
291,1605835,Applewood Winery,2445349,York Creek Vineyards,N
292,2893932,Deep Ellum Arts Festival,2445349,York Creek Vineyards,N
293,2893932,Deep Ellum Arts Festival,1605835,Applewood Winery,N
294,3504545,Blyss Bakery,867282,Racines Office & Art Supplies,N
295,1605835,Applewood Winery,867282,Racines Office & Art Supplies,N
296,1979301,Art Quest Gallery,867282,Racines Office & Art Supplies,N
297,1979301,Art Quest Gallery,3504545,Blyss Bakery,N
298,467494,Legacy Embroidery,3504545,Blyss Bakery,N
299,467494,Legacy Embroidery,1979301,Art Quest Gallery,N
300,5701683,Iron Horse Imports,1753745,Elegant Linens Inc.,N
301,1979301,Art Quest Gallery,1753745,Elegant Linens Inc.,N
302,3755483,Blue Oyster Cultivation,1798663,Gcp Discount Liquors & Wines,N
303,3314318,Promise Lutheran Church & Preschool,1798663,Gcp Discount Liquors & Wines,N
304,3314318,Promise Lutheran Church & Preschool,1979301,Art Quest Gallery,N
305,834783,E. Schaaf & Associates,3984434,Versatrak Inc.,N
306,3605245,Californialist,3984434,Versatrak Inc.,N
307,3605245,Californialist,834783,E. Schaaf & Associates,N
308,3314318,Promise Lutheran Church & Preschool,3984434,Versatrak Inc.,N
309,2878019,Lloyd's RV Center,3984434,Versatrak Inc.,N
310,4224850,Beverly Hill's Rejuvination Center,3984434,Versatrak Inc.,N
311,4224850,Beverly Hill's Rejuvination Center,2878019,Lloyd's RV Center,N
312,4626624,Max Bowl Port Arthur,4224850,Beverly Hill's Rejuvination Center,N
313,4626624,Max Bowl Port Arthur,2878019,Lloyd's RV Center,N
314,3824044,Center for Alternative Medicine,4626624,Max Bowl Port Arthur,N
315,3824044,Center for Alternative Medicine,2878019,Lloyd's RV Center,N
316,5257569,Southern Nurseries,2878019,Lloyd's RV Center,N
317,649968,The Big Cheese Rodent Factory,2878019,Lloyd's RV Center,N
318,649968,The Big Cheese Rodent Factory,3824044,Center for Alternative Medicine,N
319,649968,The Big Cheese Rodent Factory,4626624,Max Bowl Port Arthur,N
320,2160188,Assemblies of God Church,649968,The Big Cheese Rodent Factory,N
321,2160188,Assemblies of God Church,4626624,Max Bowl Port Arthur,N
322,2160188,Assemblies of God Church,3824044,Center for Alternative Medicine,N
323,2160188,Assemblies of God Church,2878019,Lloyd's RV Center,N
324,5550504,Center Hill Free Will Baptist Chruch ,2160188,Assemblies of God Church,Y
325,5550504,Center Hill Free Will Baptist Chruch ,2878019,Lloyd's RV Center,N
326,5550504,Center Hill Free Will Baptist Chruch ,3824044,Center for Alternative Medicine,N
327,5550504,Center Hill Free Will Baptist Chruch ,2162946,Northern Oaks Living & Rehabilitation Center,N
328,4939431,Big M Telephone Answering Services,4990718,Murphy's Music Center,N
329,4939431,Big M Telephone Answering Services,2162370,Jacksonville Animal Hospital,N
330,2162370,Jacksonville Animal Hospital,4990718,Murphy's Music Center,N
331,4924413,"Green Apple Plumbing, Heating & Air Conditioning",3089065,Kidabilities Occupational Therapy,N
332,3824979,"Edmund R. Michie, Attorney At Law",3089065,Kidabilities Occupational Therapy,N
333,4924413,"Green Apple Plumbing, Heating & Air Conditioning",3824979,"Edmund R. Michie, Attorney At Law",N
334,5606175,Walker's Contracting Services,3824979,"Edmund R. Michie, Attorney At Law",N
335,4924413,"Green Apple Plumbing, Heating & Air Conditioning",2162370,Jacksonville Animal Hospital,N
336,879488,Parlay Mortgage & Property,5064360,Lifestyle Businesses Australia,N
337,4924413,"Green Apple Plumbing, Heating & Air Conditioning",5064360,Lifestyle Businesses Australia,N
338,3600176,Rike Real Estate,1126463,QuickSale.com,N
339,494616,The Corcoran Group,1126463,QuickSale.com,N
340,931613,Rifle Insurance Service,494616,The Corcoran Group,N
341,931613,Rifle Insurance Service,3600176,Rike Real Estate,N
342,2475443,Keller Williams Realty,586515,Riverway Properties,Y
343,1507176,CIS Insurance Brokers,586515,Riverway Properties,N
344,1507176,CIS Insurance Brokers,2475443,Keller Williams Realty,N
345,1507176,CIS Insurance Brokers,494616,The Corcoran Group,N
346,1984253,Panno Real Estate,494616,The Corcoran Group,N
347,1984253,Panno Real Estate,1069550,Patriot Properties,N
348,1984253,Panno Real Estate,1036755,John Pierce & Company,N
349,599337,Charie Properties,1036755,John Pierce & Company,N
350,1036755,John Pierce & Company,1069550,Patriot Properties,N
351,5097572,modshop1.com,4385102,The geek twins,N
352,122591,instagram,159287,vine,Y
353,5097572,modshop1.com,3619359,kitnipbox,N
354,5097572,modshop1.com,3928463,onetopanga.com,N
355,3928463,onetopanga.com,4385102,The geek twins,N
356,3360053,Napa County Farm Bureau,4936320,Fleet Feet Sports Burbank,N
357,3360053,Napa County Farm Bureau,886630,Vinh Sanh Trading Corp.,N
358,3360053,Napa County Farm Bureau,3157743,Envato,N
359,3360053,Napa County Farm Bureau,5811154,Towardthestarts,N
360,886630,Vinh Sanh Trading Corp.,4936320,Fleet Feet Sports Burbank,N
361,3157743,Envato,4936320,Fleet Feet Sports Burbank,N
362,5811154,Towardthestarts,4936320,Fleet Feet Sports Burbank,N
363,5300584,Christian Fellowship Church,4936320,Fleet Feet Sports Burbank,N
364,5300584,Christian Fellowship Church,3360053,Napa County Farm Bureau,N
365,5300584,Christian Fellowship Church,5811154,Towardthestarts,N
366,4187901,Sissi Boutique,3360053,Napa County Farm Bureau,N
367,4187901,Sissi Boutique,371923,Base Entertainment Asia,N
368,4187901,Sissi Boutique,4883866,Dollar Western Wear,N
369,4187901,Sissi Boutique,5202063,Up220,N
370,4187901,Sissi Boutique,3115153,Identity Theft 911,N
371,4883866,Dollar Western Wear,371923,Base Entertainment Asia,N
372,5202063,Up220,371923,Base Entertainment Asia,N
373,3115153,Identity Theft 911,371923,Base Entertainment Asia,N
374,4883866,Dollar Western Wear,3115153,Identity Theft 911,N
375,4883866,Dollar Western Wear,1445106,Balloon Platoon,N
376,4883866,Dollar Western Wear,148684,Progessive Hearing Healthcare,N
377,1445106,Balloon Platoon,3115153,Identity Theft 911,N
378,148684,Progessive Hearing Healthcare,3115153,Identity Theft 911,N
379,1244223,Nagler Robins Partners,3115153,Identity Theft 911,N
380,148684,Progessive Hearing Healthcare,1445106,Balloon Platoon,N
381,3967138,Halton Progressive Conservative Youth Association,1445106,Balloon Platoon,N
382,3518949,Palm Spring Hotel and Resort,1445106,Balloon Platoon,N
383,148684,Progessive Hearing Healthcare,1244223,Nagler Robins Partners,N
384,148684,Progessive Hearing Healthcare,3967138,Halton Progressive Conservative Youth Association,N
385,148684,Progessive Hearing Healthcare,3518949,Palm Spring Hotel and Resort,N
386,3967138,Halton Progressive Conservative Youth Association,1244223,Nagler Robins Partners,N
387,3518949,Palm Spring Hotel and Resort,1244223,Nagler Robins Partners,N
388,2483785,McMahon Carpet and Upholstery,1244223,Nagler Robins Partners,N
389,3967138,Halton Progressive Conservative Youth Association,2483785,McMahon Carpet & Upholstery,N
390,3967138,Halton Progressive Conservative Youth Association,4126177,Authentic Provence,N
391,3518949,Palm Spring Hotel and Resort,2483785,McMahon Carpet & Upholstery,N
392,3518949,Palm Spring Hotel and Resort,4126177,Authentic Provence,N
393,3518949,Palm Spring Hotel and Resort,1811058,Jewlery By Zenia,N
394,4126177,Authentic Provence,2483785,McMahon Carpet & Upholstery,N
395,1811058,Jewelry By Zenia,2483785,McMahon Carpet & Upholstery,N
396,1024878,Creative Stitch,2483785,McMahon Carpet & Upholstery,N
397,4126177,Authentic Provence,1024878,Creative-Stich,N
398,4126177,Authentic Provence,4482389,Seismic Software,N
399,4126177,Authentic Provence,1648297,Glide Publishing,N
400,1024878,Creative-Stich,4482389,Seismic Software,N
401,1648297,Glide Publishing,4482389,Seismic Software,N
402,397490,Blue Haven Capital,4482389,Seismic Software,N
403,5384325,Cheri Nest - Figure Skating Coach & Technician,4482389,Seismic Software,N
404,4888223,Elegant Earth Event Details & D�cor,4482389,Seismic Software,N
405,1648297,Glide Publishing,397490,Blue Haven Capital,N
406,1648297,Glide Publishing,1874200,Challenge Charter School,N
407,1648297,Glide Publishing,4888223,Elegant Earth Event Details & D�cor,N
408,3637527,Benny's World,397490,Blue Haven Capital,N
409,4888223,Elegant Earth Event Details & D�cor,397490,Blue Haven Capital,N
410,2820801,Gallagher's Army,397490,Blue Haven Capital,N
411,4888223,Elegant Earth Event Details & D�cor,1874200,Challenge Charter School,N
412,2820801,Gallagher's Army,1874200,Challenge Charter School,N
413,1972572,Elk Grove Village Public Library,1874200,Challenge Charter School,N
414,5384325,Cheri Nest - Figure Skating Coach & Technician,3637527,Benny's World,N
415,5384325,Cheri Nest - Figure Skating Coach & Technician,4888223,Elegant Earth Event Details & D�cor,N
416,5384325,Cheri Nest - Figure Skating Coach & Technician,1972572,Elk Grove Village Public Library,N
417,2820801,Gallagher's Army,584934,Media Life Magazaine,N
418,2820801,Gallagher's Army,1916423,Colorado Wildlife Heritage,N
419,2820801,Gallagher's Army,1654592,Nicholas A Roes Associates,N
420,1972572,Elk Grove Village Public Library,584934,Media Life Magazaine,N
421,1972572,Elk Grove Village Public Library,1916423,Colorado Wildlife Heritage,N
422,1654592,Nicholas A Roes Associates,584934,Media Life Magazaine,N
423,5038377,Artspace,584934,Media Life Magazaine,N
424,5010940,Uwo Rotaract,584934,Media Life Magazaine,N
425,1654592,Nicholas A Roes Associates,1916423,Colorado Wildlife Heritage,N
426,5038377,Artspace,1916423,Colorado Wildlife Heritage,N
427,429418,Orlando Vacation,1916423,Colorado Wildlife Heritage,N
428,5038377,Artspace,429418,Orlando Vacation,N
429,5038377,Artspace,1315825,Law Firm of Vaughn & Weber,N
430,5038377,Artspace,1915225,Christ the King Episcopal Church,N
431,5010940,Uwo Rotaract,429418,Orlando Vacation,N
432,5010940,Uwo Rotaract,1315825,Law Firm of Vaughn & Weber,N
433,5010940,Uwo Rotaract,1915225,Christ the King Episcopal Church,N
434,1315825,Law Firm of Vaughn & Weber,429418,Orlando Vacation,N
435,1908035,Kerman Covenant Church,429418,Orlando Vacation,N
436,3214172,Arcanum Pictures,429418,Orlando Vacation,N
437,1315825,Law Firm of Vaughn & Weber,1915225,Christ the King Episcopal Church,N
438,1315825,Law Firm of Vaughn & Weber,1908035,Kerman Covenant Church,N
439,1315825,Law Firm of Vaughn & Weber,1898017,Buena Vista Home Entertainment,N
440,1908035,Kerman Covenant Church,1898017,Buena Vista Home Entertainment,N
441,3214172,Arcanum Pictures,2569258,Beverley Boy Productions,Y
442,1898017,Buena Vista Home Entertainment,5483865,Christopher Paul Financial,N
443,149458,Hi-Health Supermart Corp,1948200,Salon Christophe,N
444,136566,Supercuts,1948200,Salon Christophe,Y
445,871963,Palmer Architects,290879,Heitman Architects,N
446,770439,Tom Bush Architect,290879,Heitman Architects,N
447,770439,Tom Bush Architect,871963,Palmer Architects,N
448,312767,DDCA Architects,290879,Heitman Architects,Y
449,312767,DDCA Architects,770439,Tom Bush Architect,N
450,312767,DDCA Architects,871963,Palmer Architects,N
451,871963,Palmer Architects,875946,Weiss Magnets Architects,Y
452,751465,Alm Architects,875946,Weiss Magnets Architects,N
453,751465,Alm Architects,852695,Ron Mazzezo Architects,Y
454,864818,Click Point Ranch,1042857,B B Business Media Productions,N
455,1319271,CG Dream,1042857,,N
456,751465,,1042857,,N
457,1662885,,864818,,N
458,744716,SF Video advertising,877809,,N
459,996159,Chicago Advertising,877809,,N
460,2251750,Florida Website design,996159,,N
461,802345,phoenix video production,866749,,N
462,1654641,,852028,Travely agency NY,N
463,189498,,1655462,PR NY,Y
464,996159,,1655462,,N
465,744716,,195354,,N
466,744716,,936815,,N
467,189498,,936815,,N
468,996159,,936815,,N
469,189498,,1429580,,Y
470,605649,,1429580,,N
471,624031,Burbank California Advertising agency,865331,,N
472,1429580,,865331,,N
473,189498,,865331,,N
474,905219,Denver Publishing,624031,,N
475,866749,I dig my dog pasadena,1654641,Social passport,N
476,1654641,,1889072,Burbank field and track,N
477,866749,,1889072,,N
478,624031,,1889072,,N
479,605453,,1889072,,N
480,731329,Bicycle store costa mesa,1654641,,N
481,1445891,Lawrence Mass salon,1290297,,N
482,1445891,,1065406,Cali detection systems,N
483,731329,,1065406,,N
484,866749,,1065406,,N
485,1104799,Valencia Cali electronics,851635,,N
486,1104799,,1894698,Cali electronic parts supplier,Y
487,731329,,1894698,,N
488,731329,,269304,,N
489,731329,,2146644,Houston Vibration montioring,N
490,774865,Autoparts Salinas,130882,Worldwide (NY) electronic,N
491,443370,Presence detection,1445891,,N
492,441241,Engineering Arizona,353394,,N
493,334784,Texas Manufacturing,1098220,Marine Equipment,N
494,486445,scrub manufacturer,1684006,,N
495,1098220,,1684006,,N
496,1604128,Alstrom Heat Transfer (NY),486445,,N
497,1604128,,1098220,,N
498,1065406,,1827292,California Sensors,Y
499,486445,,1065406,,N
500,486445,,1827292,,N
501,127951,Morgan Stanley,361414,,N
502,127951,,138616,,Y
503,127951,,825879,,N
504,127951,,1018749,,N
505,127951,,422630,,N
506,127951,,264971,,N
507,127951,,103992,,Y
508,127951,,1499904,,N
509,127951,,1171526,,N
510,127951,,219546,,N
511,127951,,1825487,,N
512,103031,Pandora,1798336,,N
513,103031,,1824050,,Y
514,103031,,1602125,,Y
