"Company Id"|"Domain"|"Short Name"|"Keywords"|"Description Facebook"|"Descritption HTML Meta Tag"|"Description About Page Extracted"|"Country"|"State"|"City"|"Employee Count"|"Revenue"|"Funding"|"CEO"|"Founded Year"|"Industry"|"Competitor Ids"
"100027"|"expensify.com"|"Expensify"|"template;reports;concur alternative;expense;small business;expense report;expense reimbursement;report;online expense reporting;expenses;online;"||"Import expenses directly from a credit card to create free expense reports quickly.  Approve reports online and reimburse directly to a checking account with one click.."|"Love What You Do. Every Step of the Way.Not only are we passionate about our work, but we love the people we surround ourselves with. Come join us, you'll see what we mean. Work with us and join the fight against Expense Reports That Suck Join a team of innovators building a product that solves a real world problem   crappy expense reports  Help make our web app even better and more reliable by pl"|"united states"|"ca"|"san francsico"|"84"|"4000000"|"27800000"|"David Barret; "|"2008"|"software internet and computer services"|"100117;100026;100637;900063;2640738;128665;804502;1835591;1866295;133548;100115;7192050;"
"100028"|"kcura.com"|"kCura"|||"kCura develops e discovery software Relativity for managing large volumes of electronic evidence during litigation or investigations.."|"kCura develops web based e discovery applications for managing large volumes of electronic evidence during litigation or investigations.WHAT'S IMPORTANT TO USWe work hard to ensure we re building great software and developing our products to tackle e discovery challenges.We love spending time with our users, learning how their needs are changing, and solving their day to day challenges in creative"|"united states"|"fl"|"jacksonville"|"452"|"105000000"|"125000000"|"Andrew Sieja; "|"02/2001"|"software internet and computer services"|"100476;130190;"
"100029"|"cortera.com"|"Cortera"|"Commercial credit monitoring;Business Credit Monitoring;Credit Data;Business Credit Scoring;Business Information;Business Risk management;Portfolio Monitoring;Business Credit Report;Commercial Credit Bureau;"||"Cortera s solutions increase visibility into the financial health of your B2B customers. Stop paying more for business credit data and start paying less with Cortera.."|"A company s ability to access and act upon information about their customers, prospects and suppliers is often the difference between winning and losing.  Whether making credit decisions, assessing the health of suppliers, prioritizing sales efforts or dealing with many other B2B interactions, companies need accurate insights delivered in a useful form when and where they re needed.For over 20 yea"|"united states"|"massachusetts"|"quincy"|"75"|"5000000"|"8000000"|"Jim Swift; "||"software internet and computer services"|"157853;"
"100030"|"mahalo.com"|"Mahalo"|||"Mahalo, the knowledge sharing service; helping people quickly find the best information on topics, how to's and coupons. Members of the public can also earn money by contributing to Mahalo topic pages or by answering questions on the Mahalo Answers Q A system.."|"All About the Quick Control Button on a Canon 60D DSLR will help you learn everything you need to know about the quick button on this DSLR Camera. It's a technical video, delivered in a plain English way that should help users with this button. This video is part of a wide range of technology videos which are published on the Mahalo.com channel of YouTube. Also visit this channel for some speciali"|"united states"|"ca"|"santa monica"|"41"|"0"|"21000000"|"Jason McCabe Calacanis; "||"software internet and computer services"|"100134;100032;"
"100031"|"chacha.com"|"ChaCha"|||"Human powered answers on iOS, Android, and the Web.."|"ChaCha gives free, real time answers to any question both online at ChaCha.com and through mobile phones by either texting  ChaCha   242 242  or using one of our mobile apps. Through our unique  ask a smart friend  format, ChaCha has become the leading answers service with more than a billion questions answered to date all in a fun, conversational format perfect for those in need of fast, free ans"|"united states"|"in"|"carmel"|"90"|"10000000"|"43000000"|"Scott A. Jones; "||"software internet and computer services"|"100134;"
"100032"|"quora.com"|"Quora"||||"Quora's mission is to share and grow the world's knowledge.Quora is your best source of knowledge. Ask any question, get real answers from people with first hand experience, and blog about what you know.Read Amazing Questions, Answers   BlogsChoose from over 400,000 topics to create a feed of information tuned to your interests.Ask Questions, Get AnswersAsk any question and get answers from real p"|"united states"|"ca"|"mountain view"|"61"|"0"|"141000000"|"Adam D'Angelo; "|"06/2009"|"software internet and computer services"|"100030;100134;125111;111066;12031634;1372799;1168855;712152;104254;101363;103053;3915262;12020261;125112;"
"100035"|"crowdflower.com"|"CrowdFlower"|||"Our platform helps data scientists collect, clean and label data to make it more useful. Using CrowdFlower, businesses can gain deep insight, develop predictive models, improve products, and automate data driven processes. ."||"united states"|"ca"|"san francisco"|"67"|"11000000"|"25700000"|"Lukas Biewald; "|"12/2007"|"software internet and computer services"|"200757;100043;486703;2233845;"
"100036"|"odesk.com"|"oDesk"|||"Find freelancers and freelance jobs on oDesk   the world's largest online workplace where savvy businesses and professional freelancers go to work ."|"The best companies win with the best talent. But great people can be hard to find. We ve created an online workplace for the world   connecting clients with top freelance professionals from San Francisco to Sao Paulo.Whether you need one writer or an entire team of programmers, we help you find the right experts to fuel your success. Our platform lets you work effortlessly with freelancers anywher"|"united states"|"ca"|"redwood city"|"100"|"40000000"|"46700000"|"Fabio Rosati; "||"software internet and computer services"|"100070;100035;100038;2583010;"
"100038"|"elance.com"|"Elance"|"flash;Ajax;Wordpress;graphic designer;illustrator;administrative;writer;hire;online work;MySQL;blog content;iPhone developer;XHTML;contractor;Ruby;CSS;SEO;freelance;expert programmer;Linux;Joomla;PHP;translator;developer;outsourcing;web designer;coder;"||"Access over 2 million skilled freelancers from around the world. Find rated web developers, mobile programmers, designers, writers, translators, marketing pros, virtual assistants and more.."|"Javascript must be enabled to properly navigate this site. Please see Minimum Browser RequirementsElance is now an Upwork companyIn 2014, Elance merged with oDesk. In 2015, oDesk was relaunched as Upwork.Please click below to view the content you're interested in on upwork.com. Thanks "|"united states"|"ca"|"mountain view"|"50"|"7000000"|"86000000"|"Fabio Rosati; "|"1999"|"software internet and computer services"|"100047;100035;100036;"
"100039"|"utest.com"|"uTest"||||"uTest is the world s largest open community dedicated to professional testers and software testing; our sole purpose is to promote and advance the testing profession, and the people who do this vital work."|"united states"|"ma"|"framingham"|"114"|"18000000"|"80700000"|"Doron Reuveni; "|"08/2007"|"software internet and computer services"|"4868725;103942;3233684;"
"100040"|"liveops.com"|"LiveOps"|||"LiveOps cloud based contact center   virtual call center software with social customer service greatly improves customer service and customer support experience."||"united states"|"california"|"santa clara"|"206"|"125000000"|"81000000"||"2000"|"professional services"|"123336;698077;124220;"
"100042"|"capseo.com"|"Capseo"|||"DOZ provides a all in one Marketing software and vetted on demand marketers to help you run and master your Online Marketing.."|"Plan, manage, and assign marketing tasks to on demand vetted marketers.Build your marketing campaignDOZ platform helps you put together a campaign to reach your marketing goals.With marketers in over 15 different countries, DOZ gives you the opportunity to get matched to the right experts for every task.Tracking metrics around your campaign has never been simpler.DOZ is your one stop, on demand ma"|"france"|"cedex"|"ecully"|||"70000"|"Anji Ismail; "|"01/2009"|"professional services"|"100493;"
"100043"|"crowdsource.com"|"CrowdSource"|||"We manage a crowd of qualified writers, editors and moderators to solve large scale content creation or data problems quickly and efficiently. Learn more.."||"United States"|"IL"|"Swansea"|"54"|"37000000"|"12500000"|"Stephanie Leffler; "|"08/2010"|"software internet and computer services"|"100035;"
"100044"|"trada.com"|"Trada"||||"Trada is Crowdsourced Online Advertising ManagementHere at Trada in sunny Boulder Colorado, a happy team of smart people with great style have created the world s first and only crowdsourced online advertising services marketplace.What does this mean  In our marketplace, a large community of certified online ad experts work together on advertisers  paid search campaigns. This crowdsourced approach"|"united states"|"fl"|"jacksonville"|"70"|"10000000"|"19490000"|"Niel Robertson; "||"software internet and computer services"|"178638;100043;100127;"
"100045"|"lingotek.com"|"Lingotek"|"best language translation;translation;language translation;cloud based translation;language translator;automated language translation;"||"Lingotek provides web based automated language translation tools designed to meet the requirements of organizations challenged with communicating, interacting, and commercializing a global audience."|"Lingotek   The Translation Network enables the creation and management of multilingual content inside your enterprise applications.The Lingotek solution leverages People, Process and Technology. We have unparalleled expertise in web content, documentation, and software localization. We employ a proven translation and localization process. This, combined with our cloud based translation management "|"united states"|"nh"|"manchester"|"65"|"9000000"|"1600000"|"Rob Vandenberg; "|"2006"|"software internet and computer services"|"100180;123504;123595;"
"100048"|"99designs.com"|"99Designs"|"graphic design;crowdsource;design;"||"The  1 marketplace for graphic design, including logo design, web design and other design contests.."|"99designs is the world s largest online graphic design marketplace. For more than seven years we ve been connecting passionate designers with customers who need quality, affordable design services.Our journey began with a group of designers who were competing together on the Sitepoint forum to create the best designs. In 2008, that friendly competition grew into a unique design marketplace, which "|"australia"|"vic"|"collingwood"|"67"|"26000000"|"45000000"|"Patrick Llewellyn; "|"2008"|"software internet and computer services"|"100071;100072;1184379;1289338;"
"100050"|"logolance.com"|"Logolance"|||"Work with talented real world logo designers without the agency overhead. We help you find the right designer, build an iconic brand, and ensure success.."||"united states"|"illinois"|"saint charles"||||"Michael Siegler; "|||"100071;"
"100051"|"flattr.com"|"Flattr"|||"Social microdonations that let you support what you love. Just Like, Favorite and Star directly on services you use to give microdonations.."||"Sweden"|"se"|"Malmö"||||"Linus Olsson; "|"2010"|"software internet and computer services"|
"100052"|"netprospex.com"|"NetProspex"|||"NetProspex is the leading provider of B2B marketing data management services. Assess, Cleanse, Enhance and Target your marketing database.."||"united states"|"fl"|"jacksonville"|"89"|"10000000"|"27500000"|"Michael C. Bird; "||"professional services"|"100053;104695;104556;106253;100838;1175703;1283663;100486;104691;113067;113069;125902;1411368;104692;101158;"
"100054"|"glg.it"|"GLG"|||"GLG  Gerson Lehrman Group  is transforming the way the world's top professionals share expertise and learn.."|"GLG is driven by the curiosity of approximately 1,000 employees around the world who are transforming the way the top professionals share expertise and learn.Soon after its founding in 1998 GLG began connecting top professionals across fields and around the country. Over time, we became a membership of leading experts providing business decision makers with insights to create better, more informed"||||"942"|"289000000"|"212000000"|"Alexander Saint-Amand; "|"1998"|"professional services"|"103981;103975;9857757;"
"100056"|"firstrain.com"|"FirstRain"|"markets;insights;customers;Analytics;business;revenue;"||"Develop an intimate knowledge of your markets and your customers. Deeply personal business insights that drive your daily actions and help grow your revenue."||"united states"|"wa"|"kirkland"|||"60400000"|"Penny Herscher; "||"software internet and computer services"|"100075;1158580;6515425;1400484;102139;264239;133111;583091;12053391;12051077;100651;100492;12102999;125992;"
"100057"|"panjiva.com"|"Panjiva"|"export data;sourcing;buyers;agents;manufacturers;import data;global trade;hs code;factories;customs data;suppliers;"||"Panjiva provides data that powers global trade. Using information from 30 sources, we have shipment and customs records, company overviews and contact information on over 10 million business world wide.."||"united states"|"new york"|"new york"|"40"|"1000000"||"Josh Green; "|"2006"|"professional services"|"109619;100195;109617;"
"100058"|"bestvendor.com"|"BestVendor"|||"Save time with unbiased software reviews and cloud app recommendations from people you trust. Find top rated tools to work smarter.."||"united states"|"ny"|"new york"|||"3600000"|"Jeff Giesea; "||"software internet and computer services"|"204299;"
"100059"|"chubbybrain.com"|"ChubbyBrain"|"entrepreneur;angel investor;SBA;financing;funding;small business loan;chubbybrain;small business lending;startup;venture capital;"||"ChubbyBrain is a venture capital and angel investor database used by startups and entrepreneurs seeking to identify potential funding sources.."|"About ChubbyBrain         Algorithms         Press   Media         We're Hiring         Partner         Advertise         For Investors   Financial Institutions         ContactWe are data geeks who believe that data, appropriately and thoughtfully applied, can help entrepreneurs like you become more successful by saving you both time and money as well as ultimately making you more money.Our first "||"admin"|||||"Anand Sanwal; "|"02/2009"|"software internet and computer services"|"116312;116314;100062;"
"100061"|"insideview.com"|"InsideView"|||" amp;nbsp;       InsideView Trusted Advisor Program        Are you an independent sales consultant         Learn how partnering with InsideView can bolster your solution portfolio, amp;nbs."|"Our technology and OEM partners are world class companies thathave InsideView market intelligence integrated into theirsoftware solutions in a variety of ways.Microsoft Dynamics CRM is a business solution that drives sales productivity and marketing effectiveness through social insights, business intelligence, and campaign management in the cloud, on premises, or with a hybrid solution.SAP is the "|"united states"|"california"|"san francisco"|"213"|"27000000"|"82100000"|"Umberto Milletti; "|"2005"|"software internet and computer services"|"100838;113067;1283663;100053;148598;100486;100052;104695;101158;770088;125992;104694;1144010;133670;109133;"
"100062"|"privco.com"|"PrivCo"|"ipo;funding;investors;divestiture;company ownership;business news;merger;spin off;venture capital;private company;investment banking;entrepreneur;privately held company;leveraged buyout;acquisition;bankruptcy and restructuring;spinoff;business research;private equity;key executives;mergers and acquisitions;lbo;private market;initial public offering;private company research;"||"PrivCo is the source for business and financial research on major privately held companies, including private market M A, venture capital, and private equity deals.."|"PrivCo is the premier financial data platform on major privately held companies. PrivCo provides accurate financial and business data and news and media content on over 500,000 major private companies globally  generally defined as having at least  10 million in annual revenue, or with substantial institutional capital funding . From verified private company financials to private M A and venture c"|"united states"|"ca"|"san diego"|"52"|"4000000"|||"2009"|"software internet and computer services"|"100486;104503;205516;100838;172098;1185370;100082;139365;1477017;11485692;"
"100064"|"factset.com"|"FactSet Research Systems"|"financial professionals;asset allocation advice;investment analytics;financial data;financial research;investment analysis;investment research;financial research solutions;"||"Superior financial research solutions, investment analytics tools   much more on a single customizable interface empowering investment professionals for more than 35 years. ."||"united states"|"ct"|"norwalk"|"7360"|"1015494000"|||"1978"|"software internet and computer services"|"104503;100427;105595;121479;170940;126119;1292443;1185370;139257;194710;172098;109737;356855;100061;100062;"
"100065"|"brightwire.com"|"BrightWire"|||"Brightwire publishes exclusive financial news for buy side professionals."||"united states"|"ny"|"new york"|||"9300000"|"John Cooper; "||"banking financial services and insurance"|"100064;100870;100860;"
"100066"|"knobias.com"|"GFNN"|"small caps;Financial News;financial research;nano cap;pipes;nano stock;small caps;smallcaps;private placements;stock analysis;nobias;Real Time News;Streaming News;stock markets;knowbias;"|||", Global Financial News Network has acquired several exciting new sentiment analysis systems. These computerized sentiment reading systems are algorithm based and provide investors with the third dimension, investor sentiment. In 2012 GFNN brought in a new management team to lead GFNN and monetize the new sentiment trading products. The new team consists of Bob Massey, CEO. Bob is the former CEO o"|"united states"|"ny"|"thornwood"||||" Robert Massey; "||"software internet and computer services"|
"100067"|"xignite.com"|"Xignite"|"Global Stock Quotes;Economy;Commodity;Mutual Funds;Interest Rates;News;Stock;US Treasury Rates;Mutual Fund Performance;Real Time Silver;Web Service;Global Interest Rates;Futures;Currency;Equity;Precious Metal Prices;Finance;U.S. Global;Economic News;Mutual Fund Holdings;InterBank Rates;Historical Interest Rates;Last Sale;Corporate Bond Rates;Security Master;International Market Data;Market Data Feeds;Real Time Gold;Financial;Commodity Futures Prices;Stock Markets;Indices;Analytics;Equities;Oil  amp; Energy Swap  amp; Spot;Exchange;Services;Real Time Stock Quotes;World;International;Market Data APIs;Exchange Rate;LIBOR;International Stock Quotes;Government Bond Rates;Information;Xignite;Financial Web Services;Stock Charts;Option Prices;"||"Financial market data on demand. Xignite financial Web services help build smarter websites and applications in minutes with zero up front investment.."|"Xignite, Inc. is the leading provider of market data cloud solutions. Xignite makes sourcing and integrating real time and reference market data into apps and devices easy and more cost effective than alternative data feeds. The Silicon Valley based company is helping fuel fintech innovation by powering web sites and apps for more than 1000 financial services, media, software and corporate clients"|"united states"|"fl"|"jacksonville"||"5000000"|"32700000"|"Stephane Dubois; "|"2006"|"banking financial services and insurance"|"142897;12064626;7012554;137702;2665838;230697;139257;170830;135768;"
"100070"|"freelancer.com"|"Freelancer"|||"Hire freelance programmers, web developers, designers, writers, data entry   more at a fraction of the cost on the World's Largest Outsourcing Marketplace.."|"World's largest freelancing and crowdsourcing marketplace.Freelancer.com is the world's largest freelancing, outsourcing and crowdsourcing marketplace by number of users and projects. We connect over 16,183,045 employers and freelancers globally from over 247 countries, regions and territories. Through our marketplace, employers can hire freelancers to do work in areas such as software development"|"australia"|"nsw"|"sydney"|"350"|"26100000"|"45000000"|"Matt Barrie; "|"01/2009"|"software internet and computer services"|"115691;112851;100127;100038;12010458;100036;143099;1184379;2583010;207994;1266699;1482964;9345540;1401454;4792078;"
"100071"|"logodesignguru.com"|"Logo Design Guru"|"brand;business logo;monograms;design;"||"LogoDesignGuru.com offers custom logo design solutions for a unique logo design. You choose the price, and get hundreds of logos from tens of designers.."|" I just want to say what a fantastic job the people at Logo Design Guru do. Everything in my order was to spec and the product which in my case was business cards looked perfect. I deal exclusively with Alexander Thomas but I am sure everyone at Logo Design Guru does the same exceptional job. I highly recommend that if you want quality at a highly competitive price then these guys are for you. Wel"|"united states"|"new jersey"|"langhorne"||||"Zaheer Dodhia; "||"professional services"|"1184379;100073;100050;"
"100072"|"designcontest.com"|"DesignContest"|"graphic design;design contest;graphic designers;graphic design contest;design contests;"||"Only Custom Professional results. 100  Money Back Guarantee. 1000s of professional designers compete for your business. Delivering Quality Since 2003."||"united states"|"california"|"marina del rey"|"50"|"5000000"||"Sergey Nekipelov; "|"2003"|"software internet and computer services"|"100048;1289338;100073;"
"100073"|"logomyway.com"|"LogoMyWay"|"corporate logo;professional logo;Company logo design;logo designing;Company Logo;logo designers;Business Logos;Graphic Designers;Logo Design;Logo contest;Company Logo Design;custom logos;custom logo design;cheap logo design;Logos;Designers;corporate logo designing;affordable logos;"||"Get amazing custom logo designs for your business in hours. Start a logo design contest now."||"united states"|"arizona"|"scottsdale"|"9"|||"Joe Daley; "||"professional services"|"100071;1184379;106323;"
"100074"|"absolutdata.com"|"AbsolutData"||"Absolutdata Research and Analytics is a consulting oriented advanced analytics and market research company based out of San Francisco Bay Area in US, with offices in UK, Dubai and India."|"We help senior executives and the people who work for them to make better decisions through the optimal use of data.."||"India"|"haryana"|"Gurgaon"|"510"|"15000000"|"20000000"|"Anil Kaul; "|"2001"|"professional services"|"127846;"
